歌曲名,读音,调位,语言,出处,歌手,歌词
"江山无限
",,F,国语歌曲,,,
看我72变,,F,国语歌曲,,蔡依林,
辣妹子,,F,国语歌曲,,宋祖英,
恋人未满,,F,国语歌曲,,S.H.E,
马铃儿响来玉鸟儿唱,,F,国语歌曲,,胡松华&杜丽华,
那些年,,F,国语歌曲,,胡夏,
你怎么说,,F,国语歌曲,,邓丽君,
如果也许,,F,国语歌曲,,梁欢,
三套车,,F,国语歌曲,,蒋大为,
珊瑚颂,,F,国语歌曲,,宋祖英,
生命的挑战,,F,国语歌曲,,水木年华,
天堂,,F,国语歌曲,,腾格尔,
晚秋,,F,国语歌曲,,毛宁,
我的祖国,,F,国语歌曲,,宋祖英,
"我听过你的歌
",,F,国语歌曲,,,
我悄悄地蒙上你的眼睛,,F,国语歌曲,,王志文&江珊,
无地自容,,F,国语歌曲,,黑豹乐队,
"逍遥游
",,F,国语歌曲,,,
烟花三月,,F,国语歌曲,,吴涤清,
"一路顺风
",,F,国语歌曲,,,
"一路向北
",,F,国语歌曲,,,
"因为爱情
",,F,国语歌曲,,,
绽放爱,,F,国语歌曲,,潘辰,
"长大后我就成了你
",,F,国语歌曲,,,
这个年纪,,F,国语歌曲,,齐一,
拯救,,F,国语歌曲,,孙楠,
祝你一路顺风,,F,国语歌曲,,吴奇隆,
最后的倾诉,,F,国语歌曲,,韩磊,
Angelina,,F,外语歌曲,,Lou Bega,
"Be What You Wanna Be
",,F,外语歌曲,,,
crossing field,,F,外语歌曲,《刀剑神域》OP,,
Free Loop,,F,外语歌曲,,Daniel Powter,
"Happiness
",,F,外语歌曲,,,
"Letter Song
",,F,外语歌曲,,,
Misty Mystery,,F,外语歌曲,《名侦探柯南》OP,,
"Shape of You
",,F,外语歌曲,,,
Special¨ONE,,F,外语歌曲,,,
アクアテラリウム,,F,外语歌曲,,,
色は匂へど散りぬるを,,F,外语歌曲,,,
美しき残酷な世界,,F,外语歌曲,《进击的巨人》ED,,
"カラフル。
",,F,外语歌曲,,,
"君色に染まる
",,F,外语歌曲,,,
さよならのこと,,F,外语歌曲,《白色相簿2》ED,,
漆黒に踊る弧濁覇王節,しっこくにおどるこどくはおうせつ,F,外语歌曲,,,
千本桜,,F,外语歌曲,,初音ミク,
"镇命歌 -しずめうた-
",,F,外语歌曲,,,
となりのトトロ,,F,外语歌曲,,,
"ナツコイ
",,F,外语歌曲,,,
"春よ、来い
",,F,外语歌曲,,,
僕じゃない,,F,外语歌曲,,angela,
メタメリズム,,F,外语歌曲,《侵略！乌贼娘》ED,,
End Credits,,F,纯音乐,《加勒比海盗》主题曲,,
"Nanaticia 夜空
",,F,纯音乐,,,
"Ring Ring Ring!
",,F,纯音乐,,,
"Panda Po
",,F,纯音乐,,,
The Sun Also Rises,,F,纯音乐,,,
"wings
",,F,纯音乐,,,
"楚天谣
",,F,纯音乐,,,
"雨のち想い出
",,F,纯音乐,,,
"いつも何度でも
",,F,纯音乐,,,
いつもの風景から始まる物語,,F,纯音乐,,,
風焔,かぜほむら,F,纯音乐,,,
"フンフンフン♪だよ、らき☆すた
",,F,纯音乐,,,
"プック村
",,F,纯音乐,,,
"魔法使いの夜～メインテーマ
",,F,纯音乐,,,
High歌,,F#,国语歌曲,,黄龄,
奔跑,,F#,国语歌曲,,羽·泉,
不要跟他说,,F#,国语歌曲,,张信哲,
错错错,,F#,国语歌曲,,六哲,
独家记忆,,F#,国语歌曲,,陈小春,
跟着感觉走,,F#,国语歌曲,,苏芮,
给我感觉,,F#,国语歌曲,,张惠妹,
立秋,,F#,国语歌曲,,筠子,
没离开过,,F#,国语歌曲,,林志炫,
没那么简单,,F#,国语歌曲,,黄小琥,
青花,,F#,国语歌曲,,周传雄,
伤心太平洋,,F#,国语歌曲,,任贤齐,
童话,,F#,国语歌曲,,罗大佑,
忘记时间,,F#,国语歌曲,,胡歌,
吻别,,F#,国语歌曲,,张学友,
我的歌声里,,F#,国语歌曲,,曲婉婷,
我和上官燕,,F#,国语歌曲,,赵薇,
逍遥,,F#,国语歌曲,,霍建华,
新不了情,,F#,国语歌曲,,张靓颖,
星语心愿,,F#,国语歌曲,,张柏芝,
行酒令,,F#,国语歌曲,,王焱&尹相杰,
学猫叫,,F#,国语歌曲,,小潘潘,
痒,,F#,国语歌曲,,黄龄,
有何不可,,F#,国语歌曲,,许嵩,
再见,,F#,国语歌曲,,张震岳,
在梅边,,F#,国语歌曲,,王力宏,
只要有你,,F#,国语歌曲,,孙楠&那英,
真实,,F#,国语歌曲,,张惠妹,
中华民谣,,F#,国语歌曲,,孙浩,
祝福祖国,,F#,国语歌曲,,汤灿,都说你的花朵真红火
最远的你是我最近的爱,,F#,国语歌曲,,车继铃,
"Amazing Grace
",,F#,外语歌曲,,,
Bad Apple,,F#,外语歌曲,,,
"Beat It
",,F#,外语歌曲,,,
Caramelldansen,,F#,外语歌曲,,扭腰歌,
"EXEC_COSMOFLIPS/.
",,F#,外语歌曲,,,
Freely Tomorrow,,F#,外语歌曲,,初音ミク,
Girls,,F#,外语歌曲,,MARiA,
"Grow Slowly
",,F#,外语歌曲,,,
"Hello Goodbye & hello
",,F#,外语歌曲,,,
HIGH POWERED,,F#,外语歌曲,《侵略！乌贼娘》OP,,
"Myself;Yourself
",,F#,外语歌曲,,,
"Secret Base\~君がくれたもの~
",,F#,外语歌曲,,,
"Still Alive
",,F#,外语歌曲,,,
"Take Me To Your Heart
",,F#,外语歌曲,,,
The Sore Feet Song,,F#,外语歌曲,,,
"The Sound of Silence
",,F#,外语歌曲,,,
Wherever You Go,,F#,外语歌曲,,A Rocket to the Moon,
"打上花火
",,F#,外语歌曲,,,
"君をのせて
",,F#,外语歌曲,,,
"きよしのズンドコ節
",,F#,外语歌曲,,,
初恋,,F#,外语歌曲,,奥華子,
もっと,,F#,外语歌曲,《请与废柴的我谈恋爱》ED,,
"優しさの理由
",,F#,外语歌曲,,,
"リンクス
",,F#,外语歌曲,,,
"Annie's Wonderland
",,F#,纯音乐,,,
"Ring Ring Ring!
",,F#,纯音乐,,,
"Theme of SSS
",,F#,纯音乐,,,
"The First Snowflakes
",,F#,纯音乐,,,
"綺麗で儚いもの
",,F#,纯音乐,,,
"空に光る
",,F#,纯音乐,,,
2002年的第一场雪,,G,国语歌曲,,刀郎,
"爱江山更爱美人
",,G,国语歌曲,,,
"爱我的人和我爱的人
",,G,国语歌曲,,,
"爱情鸟
",,G,国语歌曲,,,
"霸王别姬
",,G,国语歌曲,,,
"倍儿爽
",,G,国语歌曲,,,
"边界1999
",,G,国语歌曲,,,
"冰糖葫芦
",,G,国语歌曲,,,
卜卦,,G,国语歌曲,,崔子格,
"不能说的秘密
",,G,国语歌曲,,,
达坂城的姑娘,,G,国语歌曲,,蒋大为,
胆小鬼,,G,国语歌曲,,梁咏琪,
"到哪里找那么好的人
",,G,国语歌曲,,,
"丁香花
",,G,国语歌曲,,,
东风破,,G,国语歌曲,,,
独上西楼,,G,国语歌曲,,,
"渡情
",,G,国语歌曲,,,
发现,,G,国语歌曲,,赵薇,
浮夸,,G,国语歌曲,,,
敢问路在何方,,G,国语歌曲,,,
"何日君再来
",,G,国语歌曲,,,
鸿雁,,G,国语歌曲,,呼斯楞,
"花心
",,G,国语歌曲,,,
"花好月圆
",,G,国语歌曲,,,
"花火
",,G,国语歌曲,,,
"回到拉萨
",,G,国语歌曲,,,
"会呼吸的痛
",,G,国语歌曲,,,
"火车快开
",,G,国语歌曲,,,
"寂寞沙洲冷
",,G,国语歌曲,,,
"记事本
",,G,国语歌曲,,,
"快乐崇拜
",,G,国语歌曲,,,
"离歌
",,G,国语歌曲,,,
连锁反应,,G,国语歌曲,,林珊珊,
两只蝴蝶,,G,国语歌曲,,庞龙,
牡丹之歌,,G,国语歌曲,,蒋大为,
"那些花儿
",,G,国语歌曲,,,
"难忘今宵
",,G,国语歌曲,,,
"你住在我心里的原因
",,G,国语歌曲,,,
年轻的朋友来相会,,G,国语歌曲,,张振富&耿莲凤,
挪威的森林,,G,国语歌曲,,伍佰,
怕黑的女人,,G,国语歌曲,,田震,
朋友,,G,国语歌曲,,周华健,
朋友,,G,国语歌曲,,臧天朔,
偏偏喜欢你,,G,国语歌曲,,陈百强,
"千万次的问
",,G,国语歌曲,,,
"晴天
",,G,国语歌曲,,,
秋天不回来,,G,国语歌曲,,王强,
绒花,,G,国语歌曲,,李谷一,
十五的月亮,,G,国语歌曲,,蒋大为,
十月围城,,G,国语歌曲,,李晋,
"双侠
",,G,国语歌曲,,,
"水手
",,G,国语歌曲,,,
岁月神偷,,G,国语歌曲,,金玟岐,
随它吧,,G,国语歌曲,,姚贝娜,
驼铃,,G,国语歌曲,,蒋大为,
外婆的澎湖湾,,G,国语歌曲,,潘安邦,
雾里看花,,G,国语歌曲,,那英,
我爱祖国的蓝天,,G,国语歌曲,,张明敏,
"我的眼里只有你
",,G,国语歌曲,,,
我热恋的故乡,,G,国语歌曲,,李娜,
我是不是你最疼爱的人,,G,国语歌曲,,潘越云,
"我真的受伤了
",,G,国语歌曲,,,
"像青春一样怒放
",,G,国语歌曲,,,
小半,,G,国语歌曲,,陈粒,
谢谢你的爱,,G,国语歌曲,,刘德华,
信仰,,G,国语歌曲,,张信哲,
夜玫瑰,,G,国语歌曲,,陈明,
"一封家书
",,G,国语歌曲,,,
一起摇摆,,G,国语歌曲,,汪峰,
"驿动的心
",,G,国语歌曲,,,
"义勇军进行曲
",,G,国语歌曲,,,
用心良苦,,G,国语歌曲,,张宇,
雨一直下,,G,国语歌曲,,张宇,
远情,,G,国语歌曲,,谭晶,
月圆花好,,G,国语歌曲,,龚玥,
再回首,,G,国语歌曲,,姜育恒,
在那桃花盛开的地方,,G,国语歌曲,,蒋大为,
中国功夫,,G,国语歌曲,,屠洪刚,
终于明白,,G,国语歌曲,《仙剑奇侠传》ED,,
执着,,G,国语歌曲,,田震,
走天涯,,G,国语歌曲,,降央卓玛,
最熟悉的陌生人,,G,国语歌曲,,萧亚轩,
aLIEz,,G,外语歌曲,《ALDNOAH.ZERO》ED,,
"Call Me Maybe
",,G,外语歌曲,,,
Can't Take My Eyes Off You,,G,外语歌曲,,少女时代,
"Girl In The Mirror
",,G,外语歌曲,,,
"Going Home
",,G,外语歌曲,,,
Cut,,G,外语歌曲,《吸血鬼日记》BGM,,
Happiness,,G,外语歌曲,《符文工厂2》主题曲,,
Hero,,G,外语歌曲,,Enrique lglesias,
I Gotta Feeling,,G,外语歌曲,,Black Eyed Peas,
"I Hate Myself For Loving You
",,G,外语歌曲,,,
"Let It Go
",,G,外语歌曲,,,
oath sign,,G,外语歌曲,《Fate/Zero》OP,,
"Schnappi
",,G,外语歌曲,,,
"START:DASH!!
",,G,外语歌曲,,,
sweets parade,,G,外语歌曲,《妖狐×仆SS》ED,,
"Teenage Life
",,G,外语歌曲,,,
"Tonight I Wanna Cry
",,G,外语歌曲,,,
"U Make Me Wanna
",,G,外语歌曲,,,
"大きな金魚の樹の下で
",,G,外语歌曲,,,
キミの花,,G,外语歌曲,《清恋》OP,,
银の意志、金の翼,ぎんのいし、きんのつばさ,G,外语歌曲,《空之轨迹》OVA,小寺可南子,
粉雪,こなゆき,G,外语歌曲,,,
"世界は恋に落ちている
",,G,外语歌曲,,,
桃源恋歌,とうげんれんか,G,外语歌曲,,,
"月が泣いてる
",,G,外语歌曲,,,
"はじまりの朝
",,G,外语歌曲,,,
Battle Without Honor Or Humanity,,G,纯音乐,《杀死比尔》BGM,,
Bliss,,G,纯音乐,《寄生兽》BGM,,
Departure,,G,纯音乐,,片手☆SIZE,
heaven sunshine,,G,纯音乐,,Foxtail-Grass Studio,
innocence,,G,纯音乐,《魔法使之夜》BGM,,
"It's Going to be The Special
",,G,纯音乐,,,
"Never too late
",,G,纯音乐,,,
"Nightingale
",,G,纯音乐,,,
Unity,,G,纯音乐,,TheFatRat,
"北岸
",,G,纯音乐,,,
"君自兰芳
",,G,纯音乐,,,
青石巷,,G,纯音乐,,,
"维京之风
",,G,纯音乐,,,
いつまでも君と,,G,纯音乐,《魔法使之夜》BGM,,
陰鬱な屋敷,いんうつなやしき,G,纯音乐,,,
海の見える街,,G,纯音乐,《魔女宅急便》BGM,,
"それは風のように
",,G,纯音乐,,,
"男子高校生と愉快な仲間
",,G,纯音乐,,,
"千尋のワルツ
",,G,纯音乐,,,
"てってって～
",,G,纯音乐,,,
"常盤台女子寮
",,G,纯音乐,,,
"時計はまわる
",,G,纯音乐,,,
ハナノイロ,,G,纯音乐,《花开伊吕波》OP,,
"奉仕部活動日誌 01
",,G,纯音乐,,,
"昔の友人が変わらずにいるというのも悪くないものだな…
",,G,纯音乐,,,
沸き上がる闘志,わきあがるとうし,G,纯音乐,,,
爱的奉献,,G#,国语歌曲,,韦唯,
敖包相会,,G#,国语歌曲,,云飞&于文华,
别问我是谁,,G#,国语歌曲,,王馨平,
"不得不爱
",,G#,国语歌曲,,,
"此生不换
",,G#,国语歌曲,,,
大花轿,,G#,国语歌曲,,火风,
当,,G#,国语歌曲,,动力火车,
等你下课,,G#,国语歌曲,,周杰伦,
鼓楼,,G#,国语歌曲,,赵雷,
蓝色土耳其,,G#,国语歌曲,,周传雄,
离不开你,,G#,国语歌曲,,黄绮珊,
浏阳河,,G#,国语歌曲,,宋祖英,
梦醒时分,,G#,国语歌曲,,陈淑桦,
那一天,,G#,国语歌曲,,杨坤,
南屏晚钟,,G#,国语歌曲,,蔡琴/徐小凤,
恰似你的温柔,,G#,国语歌曲,,邓丽君,
"千年等一回
",,G#,国语歌曲,,,
如果这就是爱情,,G#,国语歌曲,,张靓颖,
十年,,G#,国语歌曲,,陈奕迅,
谁的眼泪在飞,,G#,国语歌曲,,孟庭苇,
特别的爱给特别的你,,G#,国语歌曲,,伍思凯,
为爱痴狂,,G#,国语歌曲,,刘若英,
无愧于心,,G#,国语歌曲,,孙楠,
弯弯的月亮,,G#,国语歌曲,,刘欢,
新鸳鸯蝴蝶梦,,G#,国语歌曲,,黄安,
心太软,,G#,国语歌曲,,任贤齐,
夜来香,,G#,国语歌曲,,邓丽君,
夜曲,,G#,国语歌曲,,周杰伦,
"一生离不开的是你
",,G#,国语歌曲,,,
越来越好,,G#,国语歌曲,,宋祖英,
遇见,,G#,国语歌曲,,张靓颖,
知心爱人,,G#,国语歌曲,,任静&付笛声,
Dear my friend -まだ見ぬ未来へ-,,G#,外语歌曲,,,
"Don't Say ""Lazy""
",,G#,外语歌曲,,,
Happy,,G#,外语歌曲,《神偷奶爸2》BGM,,
"Lemon Tree
",,G#,外语歌曲,,,
Magia,,G#,外语歌曲,,,
Опера 2,,G#,外语歌曲,《歌剧2》,,
One More Night,,G#,外语歌曲,,Maroon 5,
Overfly,,G#,外语歌曲,《刀剑神域》ED,,
Ring Ding Dong,,G#,外语歌曲,《杀马特遇见洗剪吹》,,
Sister's Noise,,G#,外语歌曲,,,
"Stayin' Alive
",,G#,外语歌曲,,,
tear drops,,G#,外语歌曲,《名侦探柯南》OP,Caos Caos Caos,
"The magic key
",,G#,外语歌曲,,,
"Viva La Vida
",,G#,外语歌曲,,,
"WHITE ALBUM
",,G#,外语歌曲,,,
"You Are My Sunshine
",,G#,外语歌曲,,,
境界の彼方,きょうかいのかなた,G#,外语歌曲,,,
"だんご大家族
",,G#,外语歌曲,,,
初音ミクの消失,,G#,外语歌曲,,初音ミク,
バラライカ,,G#,外语歌曲,《花样明星》OP,,
星を辿れば,ほしをたどれば,G#,外语歌曲,,,
"ルカルカ✩ナイトフィーバー
",,G#,外语歌曲,,,
瑠璃の鳥,るりのとり,G#,外语歌曲,,,
ワールドイズマイン,,G#,外语歌曲,,世界第一的公主殿下,
Childhood Memory,,G#,纯音乐,,Bandari,
彼女の本気,,G#,纯音乐,,,
"騎士王の誇り
",,G#,纯音乐,,,
"新・名探偵コナン メイン・テーマ(Sax)
",,G#,纯音乐,,,
"邪悪な都市
",,G#,纯音乐,,,
"ひだまりの郷
",,G#,纯音乐,,,
有意義な時間の過ごし方,,G#,纯音乐,,,
Shero,,A,国语歌曲,,S.H.E,
安全感,,A,国语歌曲,,S.H.E,
比我幸福,,A,国语歌曲,,陈晓东,
草原上升起不落的太阳,,A,国语歌曲,,蒋大为,
"稻香
",,A,国语歌曲,,,
"懂你
",,A,国语歌曲,,,
"动起来
",,A,国语歌曲,,,
"飞得更高
",,A,国语歌曲,,,
告诉我,,A,国语歌曲,,刘文正,
"跟你走天涯
",,A,国语歌曲,,,
活着,,A,国语歌曲,,郝云,
今天你要嫁给我,,A,国语歌曲,,陶喆&蔡依林,
"九妹
",,A,国语歌曲,,,
九月九的酒,,A,国语歌曲,,阎屹,
"精忠报国
",,A,国语歌曲,,,
"骏马奔驰保边疆
",,A,国语歌曲,,,
开门红,,A,国语歌曲,,汤灿,
"笼外的鸟
",,A,国语歌曲,,,
"龙卷风
",,A,国语歌曲,,,
美丽的草原我的家,,A,国语歌曲,,德德玛,
你走吧,,A,国语歌曲,,周艳泓,
"如果云知道
",,A,国语歌曲,,,
朋友的酒,,A,国语歌曲,,李晓杰,
偏爱,,A,国语歌曲,,张芸京,
"平凡之路
",,A,国语歌曲,,,
跑马溜溜的山上,,A,国语歌曲,,蒋大为,
青花瓷,,A,国语歌曲,,,
奇迹再现,,A,国语歌曲,,,
"生如夏花
",,A,国语歌曲,,,
守月亮,,A,国语歌曲,,吴涤清,
"涛声依旧
",,A,国语歌曲,,,
"童年
",,A,国语歌曲,,,
"他一定很爱你
",,A,国语歌曲,,,
踏春,,A,国语歌曲,,姚晔,
"天不下雨天不刮风天上有太阳
",,A,国语歌曲,,,
天后,,A,国语歌曲,,陈势安,
天涯,,A,国语歌曲,《笑傲江湖》ED,任贤齐,
"王妃
",,A,国语歌曲,,,
我好想你,,A,国语歌曲,,苏打绿,
乌苏里船歌,,A,国语歌曲,,蒋大为,
"向天再借五百年
",,A,国语歌曲,,,
"仙剑问情
",,A,国语歌曲,,,
"向天再借五百年
",,A,国语歌曲,,,
"笑脸
",,A,国语歌曲,,,
"小背篓
",,A,国语歌曲,,,
"一剪梅
",,A,国语歌曲,,,
一生有你,,A,国语歌曲,,水木年华,
"愿得一人心
",,A,国语歌曲,,,
"原来你也在这里
",,A,国语歌曲,,,
"知心爱人
",,A,国语歌曲,,,
"追梦赤子心
",,A,国语歌曲,,,
最美,,A,国语歌曲,,羽·泉,
18,,A,外语歌曲,,One Direction,
Catch My Breath,,A,外语歌曲,,Kelly Clarkson,
"Lady Melody
",,A,外语歌曲,,,
Mysterious Eyes,,A,外语歌曲,《名侦探柯南》OP,,
One more time one more chance,,A,外语歌曲,,,
Rain,,A,外语歌曲,《言叶之庭》ED,,
Raindrops,,A,外语歌曲,,Eliane,
Someone Like You,,A,外语歌曲,,Adele,
あいぞめ,,A,外语歌曲,《地狱少女》ED,,
悪女,あくじょ,A,外语歌曲,,,
"あさき、ゆめみし
",,A,外语歌曲,,,
"いつもこの場所で
",,A,外语歌曲,,,
"いけないボーダーライン
",,A,外语歌曲,,,
"運命のルーレット廻して
",,A,外语歌曲,,,
"君の知らない物語
",,A,外语歌曲,,,
"キャンディパウダー
",,A,外语歌曲,,,
極楽浄土,ごくらくじょうど,A,外语歌曲,,,
"世界に一つだけの花
",,A,外语歌曲,,,
"月灯りふんわり落ちてくる夜
",,A,外语歌曲,,,
無くした日々にさよなら,,A,外语歌曲,《在下坂本，有何贵干？》 ED,,
"フリージア
",,A,外语歌曲,,,
ブルーバード,,A,外语歌曲,《青鸟》,,
みちしるべ,,A,外语歌曲,《紫罗兰永恒花园》ED,,
"みんなみくみくにしてあげる♪
",,A,外语歌曲,,,
"女々しくて
",,A,外语歌曲,,,
아리랑,,A,外语歌曲,《阿里郎》,,
Ievan Polkka,,A,纯音乐,,甩葱歌,
"Rhythm of port town
",,A,纯音乐,,,
"River Flows in You
",,A,纯音乐,,,
"大寒-柏根村
",,A,纯音乐,,,
"黒き狼の伝承
",,A,纯音乐,,,
"スローライフに憧れて
",,A,纯音乐,,,
爱的初体验,,A#,国语歌曲,,#A→G,
"北方
",,A#,国语歌曲,,,
"不想长大
",,A#,国语歌曲,,,
"城里的月光
",,A#,国语歌曲,,,
"当我们一次走过
",,A#,国语歌曲,,,
冬至,,A#,国语歌曲,,,
儿时,,A#,国语歌曲,,刘昊霖,
"国际歌
",,A#,国语歌曲,,,
坏感觉,,A#,国语歌曲,,周传雄,
黄昏,,A#,国语歌曲,,周传雄,
"江南
",,A#,国语歌曲,,,
历史的天空,,A#,国语歌曲,,毛阿敏,
其实你不懂我的心,,A#,国语歌曲,,童安格,
"穷开心
",,A#,国语歌曲,,,
如果没有你,,A#,国语歌曲,,姚贝娜,
山歌好比春江水·多谢了,,A#,国语歌曲,,宋祖英,
天仙子,,A#,国语歌曲,,谢雨欣,
驼铃,,A#,国语歌曲,,刀郎,
"为你终生守口如瓶
",,A#,国语歌曲,,,
"我是一只小小鸟
",,A#,国语歌曲,,,
小丑面具,,A#,国语歌曲,,韩庚,
小芳,,A#,国语歌曲,,李春波,
小苹果,,A#,国语歌曲,,筷子兄弟,
信天游,,A#,国语歌曲,,程琳,
"一场游戏一场梦
",,A#,国语歌曲,,,
"一夜惊喜
",,A#,国语歌曲,,,
"一直很安静
",,A#,国语歌曲,,,
映山红,,A#,国语歌曲,,宋祖英,
月亮惹的祸,,A#,国语歌曲,,张宇,
在雨中,,A#,国语歌曲,,姜育恒,
站在高岗上,,A#,国语歌曲,,张惠妹,
中国话,,A#,国语歌曲,,,
"众人划桨开大船
",,A#,国语歌曲,,,
Arrietty's Song,,A#,外语歌曲,,,
Beautiful World,,A#,外语歌曲,,Westlife,
Clattanoia,,A#,外语歌曲,《OVERLORD》OP,,
DREAM SOLISTER,,A#,外语歌曲,,,
"Evelyn Evelyn
",,A#,外语歌曲,,,
happy endings,,A#,外语歌曲,《绝园的暴风雨》ED,,
Hey!カロリーQueen,,A#,外语歌曲,《粗点心战争》ED,,
Memory,,A#,外语歌曲,,歌剧《 猫》,
"Return To Innocence
",,A#,外语歌曲,,,
"What is Love
",,A#,外语歌曲,,,
White Noise,,A#,外语歌曲,,Amber,
Whole World Around,,A#,外语歌曲,,Daniel Powter,
"あたたかな调べ
",,A#,外语歌曲,,,
"ありがとう
",,A#,外语歌曲,,,
"威風堂々
",,A#,外语歌曲,,,
"オンナのコ オトコのコ
",,A#,外语歌曲,,,
"北国の春
",,A#,外语歌曲,,,
君を知ること,,A#,外语歌曲,,,
"天使にふれたよ!
",,A#,外语歌曲,,,
止マレ!,,A#,外语歌曲,,,
はじまりの日,,A#,外语歌曲,,じょん,
はじめてのチュウ,,A#,外语歌曲,,Naomile,
"Conturbatio
",,A#,纯音乐,,,
"Gun's & Roses
",,A#,纯音乐,,,
Mariage d'amour,,A#,纯音乐,《梦中的婚礼》,,
"sis puella magica!
",,A#,纯音乐,,,
Snowdreams,,A#,纯音乐,,Bandari,
The truth that you leave,,A#,纯音乐,,,
"漫步心旅
",,A#,纯音乐,,,
千秋,,A#,纯音乐,《古剑奇谭3》主题曲,,
"软红千丈
",,A#,纯音乐,,,
"田舍小径
",,A#,纯音乐,,,
"杏叶书香
",,A#,纯音乐,,,
運命の夜,うんめいのよる,A#,纯音乐,,,
風の住む街,かぜのすむまち,A#,纯音乐,,,
"天使にふれたよ!
",,A#,纯音乐,,,
冬の街路樹,ふゆのがいろじゅ,A#,纯音乐,,,
Why Me,,B,国语歌曲,,,
"爱的供养
",,B,国语歌曲,,,
"不要说话
",,B,国语歌曲,,,
不说再见,,B,国语歌曲,,,
长歌一曲,,B,国语歌曲,,,
"痴心绝对
",,B,国语歌曲,,,
独角戏,,B,国语歌曲,,,
"发如雪
",,B,国语歌曲,,,
"风中有朵雨做的云
",,B,国语歌曲,,,
奉献,,B,国语歌曲,,苏芮,
"告白气球
",,B,国语歌曲,,,
借我,,B,国语歌曲,,谢春花,
开始懂了,,B,国语歌曲,,孙燕姿,
"你怎么舍得伤害我
",,B,国语歌曲,,,
暖暖,,B,国语歌曲,,,
说句心里话,,B,国语歌曲,,阎维文,
"太委屈
",,B,国语歌曲,,,
我要找到你,,B,国语歌曲,,,
五月天,,B,国语歌曲,,S.H.E,
"喜欢寂寞
",,B,国语歌曲,,,
下定决心忘记你,,B,国语歌曲,,大哲,
"想把我唱给你听
",,B,国语歌曲,,,
心火,,B,国语歌曲,,姚贝娜,
心情不错,,B,国语歌曲,,,
"演员
",,B,国语歌曲,,,
"阳光总在风雨后
",,B,国语歌曲,,,
"夜空中最亮的星
",,B,国语歌曲,,,
"夜夜夜夜
",,B,国语歌曲,,,
"有一点动心
",,B,国语歌曲,,,
最初的梦想,,B,国语歌曲,,范玮琪,
Bird,,B,外语歌曲,,下川みくに,
Clattanoia,,B,外语歌曲,《Overlord》OP,,
"Crash
",,B,外语歌曲,,,
Havana,,B,外语歌曲,,J.Fla,
Lemon,,B,外语歌曲,《非自然死亡》主题曲,,
LEVEL5 -judgelight-,,B,外语歌曲,,,
"Lights
",,B,外语歌曲,,,
-Mirage-,,B,外语歌曲,,,
Moon Without The Stars,,B,外语歌曲,《Deemo》,,
Only My Railgun,,B,外语歌曲,,,
"Poker Face
",,B,外语歌曲,,,
"Sparkling Daydream
",,B,外语歌曲,,,
Yellow,,B,外语歌曲,,Coldplay,
"あなたがいるから
",,B,外语歌曲,,,
終わりの世界から,,B,外语歌曲,,,
"悲しいほど今日の夕陽きれいだね
",,B,外语歌曲,,,
"現実的論理主義者
",,B,外语歌曲,,,
"そこに在るもの
",,B,外语歌曲,,,
"前前前世
",,B,外语歌曲,,,
"誕生日パーティでゲソ
",,B,外语歌曲,,,
夜桜街道,よざくらかいどう,B,外语歌曲,,,
"Flower Dance
",,B,纯音乐,,,
"Nyan Cat
",,B,纯音乐,,,
"Trip
",,B,纯音乐,,,
"步云登仙
",,B,纯音乐,,,
远方的寂静,,B,纯音乐,,林海,
"町、時の流れ、人         
",,B,纯音乐,,,
